"DAC_listing","country"
"least_developed","Afghanistan"
"least_developed","Angola"
"least_developed","Bangladesh"
"least_developed","Benin"
"least_developed","Bhutan"
"least_developed","Burkina Faso"
"least_developed","Burundi"
"least_developed","Cambodia"
"least_developed","Central African Republic"
"least_developed","Chad Comoros"
"least_developed","Democratic Republic of the Congo"
"least_developed","Djibouti"
"least_developed","Equatorial Guinea"
"least_developed","Eritrea"
"least_developed","Ethiopia"
"least_developed","Gambia"
"least_developed","Guinea"
"least_developed","Guinea-Bissau"
"least_developed","Haiti"
"least_developed","Kiribati"
"least_developed","Lao People's Democratic Republic"
"least_developed","Lesotho"
"least_developed","Liberia"
"least_developed","Madagascar"
"least_developed","Malawi"
"least_developed","Mali"
"least_developed","Mauritania"
"least_developed","Mozambique"
"least_developed","Myanmar"
"least_developed","Nepal"
"least_developed","Niger"
"least_developed","Rwanda"
"least_developed","Sao Tome and Principe"
"least_developed","Senegal"
"least_developed","Sierra Leone"
"least_developed","Solomon Islands"
"least_developed","Somalia"
"least_developed","South Sudan"
"least_developed","Sudan"
"least_developed","Tanzania"
"least_developed","Timor-Leste"
"least_developed","Togo"
"least_developed","Tuvalu"
"least_developed","Uganda"
"least_developed","Vanuatu"
"least_developed","Yemen"
"least_developed","Zambia"
"low_income","Democratic People's Republic of Korea"
"low_income","Kenya"
"low_income","Tajikistan"
"low_income","Zimbabwe"
"lower_middle","Armenia"
"lower_middle","Bolivia"
"lower_middle","Cabo Verde"
"lower_middle","Cameroon"
"lower_middle","Congo"
"lower_middle","Côte d'Ivoire"
"lower_middle","Egypt"
"lower_middle","El Salvador"
"lower_middle","Georgia"
"lower_middle","Ghana"
"lower_middle","Guatemala"
"lower_middle","Guyana"
"lower_middle","Honduras"
"lower_middle","India"
"lower_middle","Indonesia"
"lower_middle","Kosovo"
"lower_middle","Kyrgyzstan"
"lower_middle","Micronesia"
"lower_middle","Moldova"
"lower_middle","Mongolia"
"lower_middle","Morocco"
"lower_middle","Nicaragua"
"lower_middle","Nigeria"
"lower_middle","Pakistan"
"lower_middle","Papua New Guinea"
"lower_middle","Paraguay"
"lower_middle","Philippines"
"lower_middle","Samoa"
"lower_middle","Sri Lanka"
"lower_middle","Swaziland"
"lower_middle","Syrian Arab Republic"
"lower_middle","Tokelau"
"lower_middle","Ukraine"
"lower_middle","Uzbekistan"
"lower_middle","Viet Nam"
"lower_middle","West Bank and Gaza Strip"
"upper_middle","Albania"
"upper_middle","Algeria"
"upper_middle","Antigua and Barbuda"
"upper_middle","Argentina"
"upper_middle","Azerbaijan"
"upper_middle","Belarus"
"upper_middle","Belize"
"upper_middle","Bosnia and Herzegovina"
"upper_middle","Botswana"
"upper_middle","Brazil"
"upper_middle","Chile"
"upper_middle","China (People's Republic of)"
"upper_middle","Colombia"
"upper_middle","Cook Islands"
"upper_middle","Costa Rica"
"upper_middle","Cuba"
"upper_middle","Dominica"
"upper_middle","Dominican Republic"
"upper_middle","Ecuador"
"upper_middle","Fiji"
"upper_middle","Former Yugoslav Republic of Macedonia"
"upper_middle","Gabon"
"upper_middle","Grenada Iran"
"upper_middle","Iraq"
"upper_middle","Jamaica"
"upper_middle","Jordan"
"upper_middle","Kazakhstan"
"upper_middle","Lebanon"
"upper_middle","Libya"
"upper_middle","Malaysia"
"upper_middle","Maldives"
"upper_middle","Marshall Islands"
"upper_middle","Mauritius"
"upper_middle","Mexico"
"upper_middle","Montenegro"
"upper_middle","Montserrat"
"upper_middle","Namibia"
"upper_middle","Nauru"
"upper_middle","Niue"
"upper_middle","Palau"
"upper_middle","Panama"
"upper_middle","Peru"
"upper_middle","Saint Helena"
"upper_middle","Saint Lucia"
"upper_middle","Saint Vincent and the Grenadines"
"upper_middle","Serbia"
"upper_middle","Seychelles"
"upper_middle","South Africa"
"upper_middle","Suriname"
"upper_middle","Thailand"
"upper_middle","Tonga"
"upper_middle","Tunisia"
"upper_middle","Turkey"
"upper_middle","Turkmenistan"
"upper_middle","Uruguay"
"upper_middle","Venezuela"
"upper_middle","Wallis and Futuna"
